sample_id,raw_sms,source_channel,transaction_type,direction,amount,fee,balance_after,counterparty_name,counterparty_number,mtn_transaction_id,transaction_datetime,has_valid_txn_id,has_balance,has_fee,has_counterparty_name,has_counterparty_number,has_valid_datetime,amount_unusually_round,contains_url,contains_urgency_words,contains_pin_request,spelling_error_count,message_length,parser_confidence,label,label_source,notes
16,"You have received GHS 1,000.00 from FRANCIS APPIAH 0249876543. Transaction ID: 7391048265. Fee charged: GHS 0.00. E-levy: GHS 0.00. Your new balance is GHS 2,150.00. 25/03/2026 22:10.",sms,transfer,incoming,1000.00,0.00,2150.00,FRANCIS APPIAH,0249876543,7391048265,2026-03-25 22:10:00,1,1,1,1,1,1,1,0,0,0,0,185,0.88,suspicious,expert,"All fields present and well-formed but e-levy shows 0.00 on GHS 1000 (should be ~10.00). Late night (22:10). Round amount. Needs behavioral check — could be legitimate if user is within daily exempt threshold."
17,"You have received GHS 3,000.00 from PRINCE OWUSU 0241111234. Transaction ID: 8473920165. Fee charged: GHS 0.00. E-levy: GHS 30.00. Your new balance is GHS 3,070.00. 26/03/2026 03:14.",sms,transfer,incoming,3000.00,30.00,3070.00,PRINCE OWUSU,0241111234,8473920165,2026-03-26 03:14:00,1,1,1,1,1,1,1,0,0,0,0,186,0.90,suspicious,expert,"Format is perfect and e-levy math is correct (1% of 3000). But: 3AM transaction + large round amount + balance_before was only 100 (3070-3000). Unusual receiving pattern — needs behavioral context."
18,"You have received GHS 500.00 from KWAKU MENSAH 0271234567. Transaction ID: 5839201748. Fee charged: GHS 0.00. E-levy: GHS 7.50. Your new balance is GHS 502.50. 26/03/2026 14:03.",sms,transfer,incoming,500.00,7.50,502.50,KWAKU MENSAH,0271234567,5839201748,2026-03-26 14:03:00,1,1,1,1,1,1,1,0,0,0,0,183,0.87,suspicious,expert,"E-levy is 7.50 on GHS 500 (should be 5.00 = 1%). Overcharged by 50%. Could be a display error or fabricated SMS. Also balance_before was only 10 (502.50 - 500 + 7.50)."
19,"You have received GHS 750.00 from OWUSU AFRIYIE 0551234567. Transaction ID: 1029384756. Fee charged: GHS 0.00. E-levy: GHS 7.50. Your new balance is GHS 1,892.50. 27/03/2026 19:55.",sms,transfer,incoming,750.00,7.50,1892.50,OWUSU AFRIYIE,0551234567,1029384756,2026-03-27 19:55:00,1,1,1,1,1,1,0,0,0,0,0,187,0.91,suspicious,expert,"All correct but transaction ID 1029384756 was already used in sample 3 (different sender ISAAC DARKO on 17/03). Duplicate transaction IDs across different senders = one of them is fabricated."
20,"You have received GHS 2,000.00 from AMA SERWAA 0201234567. Transaction ID: 8472615308. Fee charged: GHS 0.00. E-levy: GHS 20.00. Your new balance is GHS 4,480.50. 27/03/2026 08:33.",sms,transfer,incoming,2000.00,20.00,4480.50,AMA SERWAA,0201234567,8472615308,2026-03-27 08:33:00,1,1,1,1,1,1,1,0,0,0,0,188,0.92,suspicious,expert,"Format and e-levy look correct but balance math: 4480.50 = prev + 2000 - 20 → prev = 2500.50. The 0.50 residual is odd — real MoMo balances after e-levy deductions sometimes leave fractional cedis but the message itself seems auto-generated. Needs second check."
21,"You have received GHS 5,000.00 from RICHARD BOATENG 0249871234. Transaction ID: 4829301762. Fee charged: GHS 0.00. E-levy: GHS 50.00. Your new balance is GHS 5,150.00. 27/03/2026 23:48.",sms,transfer,incoming,5000.00,50.00,5150.00,RICHARD BOATENG,0249871234,4829301762,2026-03-27 23:48:00,1,1,1,1,1,1,1,0,0,0,0,190,0.89,suspicious,expert,"All fields syntactically valid. E-levy = 50 (1% of 5000) correct. But GHS 5000 near midnight from first-time sender is high-risk behavioral pattern. balance_before = 200 only. Needs user history check."
22,"You have received GHS 800.00 from MERCY ADOM 0249876543. Transaction ID: 7384920163. Fee charged: GHS 0.00. E-levy: GHS 8.00. Your new balance is GHS 3,292.00. 28/03/2026 10:44.",sms,transfer,incoming,800.00,8.00,3292.00,MERCY ADOM,0249876543,7384920163,2026-03-28 10:44:00,1,1,1,1,1,1,0,0,0,0,0,183,0.93,suspicious,expert,"Looks fully legitimate — all math checks out (3292 = 2500 + 800 - 8). But 0249876543 matches the number in sample 16 with a different name (FRANCIS APPIAH). Same number sending under two names is a red flag."
23,"Cash In of GHS 1,500.00 at agent BENJAMIN OFORI 0261111222. Transaction ID: 3948201756. Your new balance is GHS 1,500.00. 28/03/2026 13:20.",sms,deposit,incoming,1500.00,0.00,1500.00,BENJAMIN OFORI,0261111222,3948201756,2026-03-28 13:20:00,1,1,0,1,1,1,1,0,0,0,0,137,0.90,suspicious,expert,"Valid cash-in format with all expected fields. But balance = amount exactly (wallet was at 0 before). GHS 1500 cash-in to an empty wallet in one go is unusual — most new wallets start with smaller deposits."
24,"You have received GHS 4,000.00 from KWAME BOAKYE 0241234987. Transaction ID: 8493027163. Fee charged: GHS 0.00. E-levy: GHS 40.00. Your new balance is GHS 4,010.00. 28/03/2026 16:31.",sms,transfer,incoming,4000.00,40.00,4010.00,KWAME BOAKYE,0241234987,8493027163,2026-03-28 16:31:00,1,1,1,1,1,1,1,0,0,0,0,186,0.91,suspicious,expert,"Format and e-levy correct. But balance_before was only 50 (4010 - 4000 + 40). Receiving GHS 4000 into a nearly empty wallet from a single sender is unusual — classic pattern for money mule or social engineering setup."
25,"You have received GHS 280.00 from SAMUEL ASANTE 0541234567. Transaction ID: 7482930165. Fee charged: GHS 0.00. E-levy: GHS 2.80. Your new balance is GHS 6,477.20. Ref: MTN-2026-0328. 28/03/2026 21:02.",sms,transfer,incoming,280.00,2.80,6477.20,SAMUEL ASANTE,0541234567,7482930165,2026-03-28 21:02:00,1,1,1,1,1,1,0,0,0,0,0,196,0.86,suspicious,expert,"Mostly valid but has an extra 'Ref: MTN-2026-0328' line that real MTN SMS does not include. The added reference in non-standard format suggests message may have been edited or constructed from a template."
26,"URGENT: You have received GHS 10,000.00 on your MoMo wallet. To confirm this deposit click here: http://mtn-momo-gh.xyz/confirm and enter your PIN to complete. Act now before it expires!",sms,transfer,incoming,10000.00,0.00,0.00,,,,,0,0,0,0,0,0,1,1,1,1,0,195,0.15,likely_fraudulent,expert,"Classic phishing: URL + PIN request + urgency language. No transaction ID / balance / fee / counterparty / date. Extreme amount (GHS 10k)."
27,"MTN MoMo: Dear customer your account has been credited with GHS 5,000.00. Verify your account immediately by sending your MoMo PIN to 0209999999 to avoid reversal of funds.",sms,transfer,incoming,5000.00,0.00,0.00,,,,,0,0,0,0,0,0,1,0,1,1,0,171,0.12,likely_fraudulent,expert,"Asks user to TEXT their PIN to a phone number. Threat of reversal creates urgency. No transaction ID / balance / fee / counterparty / date. 'Dear customer' salutation is not real MTN format."
28,"Congratulations! You have won GHS 15,000.00 in MTN MoMo promo draw. To claim your prize send GHS 50.00 to 0248888777 as processing fee. Your code: MTN2026WINNER. Reply YES.",sms,transfer,incoming,15000.00,0.00,0.00,,,,,0,0,0,0,0,0,1,0,0,0,0,195,0.08,likely_fraudulent,expert,"Advance-fee scam. Claims lottery win and asks victim to send money. No real transaction fields. Unrealistic prize amount. 'Reply YES' is social engineering."
29,"You have recieved GHS 3,500.00 into your MTN MoMo acount. Due to system maintanance your funds are on hold. Call 0207777321 imediately to release your funds before they are reversed.",sms,transfer,incoming,3500.00,0.00,0.00,,,,,0,0,0,0,0,0,0,0,1,0,3,196,0.10,likely_fraudulent,expert,"Three spelling errors: 'recieved' 'acount' 'maintanance' 'imediately'. Real MTN system SMS has zero typos. Threat of reversal. Directs to unknown phone number. No standard fields."
30,"You have received GHS 2,000.00 from JAMES MENSAH 0241234567. Transaction ID: 1111111111. Fee charged: GHS 0.00. E-levy: GHS 0.00. Your new balance is GHS 2,000.00. IMPORTANT: Due to new CBG regulations you must verify at https://mtn-ghana-verify.com/tx within 24hrs or funds reversed.",sms,transfer,incoming,2000.00,0.00,2000.00,JAMES MENSAH,0241234567,1111111111,,1,1,1,1,1,0,1,1,1,0,0,275,0.42,likely_fraudulent,expert,"Hybrid phishing: starts like real SMS but appends phishing URL + urgency. Transaction ID is all 1s (fabricated). E-levy = 0 on GHS 2000 (wrong). Balance = amount (empty wallet). Extra paragraph breaks MTN template."
31,"Your MoMo wallet has received GHS 7,500.00. For your security confirm by entering your PIN at http://secure-mtn-gh.com/verify. Transaction will be cancelled if not verified within 1 hour.",sms,transfer,incoming,7500.00,0.00,0.00,,,,,0,0,0,0,0,0,0,1,1,1,0,198,0.10,likely_fraudulent,expert,"Phishing URL disguised as security measure. 1-hour deadline creates urgency. Asks for PIN at external URL. No counterparty / transaction ID / balance / date. 'Your MoMo wallet has received' is not MTN phrasing."
32,"Dear valued customer GHS 1,000.00 has been deposited into your MoMo by an anonymous benefactor. To accept these funds reply with your full name date of birth and MoMo PIN to this number.",sms,transfer,incoming,1000.00,0.00,0.00,,,,,0,0,0,0,0,0,1,0,0,1,0,191,0.10,likely_fraudulent,expert,"Asks for full name + date of birth + PIN (identity theft + account takeover). 'Anonymous benefactor' is impossible in MoMo — all transfers show sender. No standard MTN fields."
33,"ALERT: Someone attempted to withdraw GHS 4,000.00 from your MoMo account. If this was not you dial *170# and enter your PIN then press 0 to block. Or call 0207654321 now to secure your account.",sms,transfer,incoming,4000.00,0.00,0.00,,,,,0,0,0,0,0,0,1,0,1,1,0,211,0.08,likely_fraudulent,expert,"Fear-based social engineering. Fake fraud alert tricks user into entering PIN via USSD or calling a scam number. Real MTN fraud alerts come from shortcode not regular SMS. No transaction fields."
34,"Dear customer you have received GHC 6,000 in ur MoMo wallet from CHIEF NANA OSEI. I sent this money by mistake pls kindly send back GHC 3,000 to 0249999888. God bless you and your family.",sms,transfer,incoming,6000.00,0.00,0.00,CHIEF NANA OSEI,0249999888,,, 0,0,0,1,1,0,1,0,0,0,2,209,0.18,likely_fraudulent,expert,"Classic overpayment/reversal scam. Uses 'GHC' not 'GHS' (old currency code). Informal language ('ur' 'pls'). Asks victim to send money back. No transaction ID / balance / fee / date. Religious emotional manipulation."
35,"You have received GHS 8,000.00. Txn: 00001. Bal: GHS 8,000.00. NOTICE: This high-value transaction requires extra verification. Send your PIN and Ghana Card number to 0207654321 within 30 minutes to avoid hold.",sms,transfer,incoming,8000.00,0.00,8000.00,,,,,0,1,0,0,0,0,1,0,1,1,0,210,0.18,likely_fraudulent,expert,"Asks for PIN + national ID (identity theft). 30-minute deadline. Fake abbreviated format ('Txn:' 'Bal:'). No counterparty / proper transaction ID / date. Balance = amount. 'High-value transaction requires verification' is not an MTN process."
